sembol,karar,giris_zaman,giris_fiyat,cikis_zaman,cikis_fiyat,getiri_%,nedenler
PKART.IS,GÜÇLÜ AL,2026-08-13 18:11,135.39999389648438,2026-08-17 09:25,127.4000015258789,-5.91,RSI 50'nin altına düştü; Hacim satış yönünde belirgin arttı
TCKRC.IS,AL,2026-08-14 10:38,171.39999389648438,2026-08-17 09:25,172.6999969482422,0.76,Hacim satış yönünde belirgin arttı
AKMGY.IS,GÜÇLÜ AL,2026-08-14 11:34,268.5,2026-08-17 09:25,275.5,2.61,Hacim satış yönünde belirgin arttı
GESAN.IS,GÜÇLÜ AL,2026-08-14 11:34,84.8499984741211,2026-08-17 09:25,83.9000015258789,-1.12,Hacim satış yönünde belirgin arttı
AHGAZ.IS,AL,2026-08-14 12:31,33.86000061035156,2026-08-17 09:25,33.70000076293945,-0.47,Hacim satış yönünde belirgin arttı
BOBET.IS,AL,2026-08-14 12:31,19.729999542236328,2026-08-17 09:25,19.299999237060547,-2.18,Hacim satış yönünde belirgin arttı
FRMPL.IS,GÜÇLÜ AL,2026-08-14 12:31,36.91999816894531,2026-08-17 09:25,38.68000030517578,4.77,Hacim satış yönünde belirgin arttı
GLRMK.IS,GÜÇLÜ AL,2026-08-14 12:31,177.1999969482422,2026-08-17 09:25,180.10000610351562,1.64,MACD aşağı kesişim yaptı
HUNER.IS,AL,2026-08-14 12:31,3.7100000381469727,2026-08-17 09:25,3.7699999809265137,1.62,Hacim satış yönünde belirgin arttı
HURGZ.IS,GÜÇLÜ AL,2026-08-14 12:31,7.980000019073486,2026-08-17 09:25,7.53000020980835,-5.64,MACD aşağı kesişim yaptı
IHAAS.IS,GÜÇLÜ AL,2026-08-14 12:31,57.400001525878906,2026-08-17 09:25,57.29999923706055,-0.17,Hacim satış yönünde belirgin arttı
SDTTR.IS,GÜÇLÜ AL,2026-08-14 12:31,256.5,2026-08-17 09:25,249.10000610351562,-2.88,MACD aşağı kesişim yaptı
ULUSE.IS,GÜÇLÜ AL,2026-08-14 12:31,294.75,2026-08-17 09:25,302.0,2.46,Hacim satış yönünde belirgin arttı
OYAKC.IS,GÜÇLÜ AL,2026-08-14 15:09,21.8799991607666,2026-08-17 09:25,21.920000076293945,0.18,Hacim satış yönünde belirgin arttı
PRKME.IS,GÜÇLÜ AL,2026-08-14 15:09,20.079999923706055,2026-08-17 09:25,18.739999771118164,-6.67,RSI 50'nin altına düştü; Hacim satış yönünde belirgin arttı; Stop-loss tetiklendi (18.88)
BAGFS.IS,AL,2026-08-14 15:39,24.799999237060547,2026-08-17 09:25,25.139999389648438,1.37,Hacim satış yönünde belirgin arttı
BRKSN.IS,GÜÇLÜ AL,2026-08-14 15:39,8.229999542236328,2026-08-17 09:25,8.050000190734863,-2.19,MACD aşağı kesişim yaptı; Hacim satış yönünde belirgin arttı
LRSHO.IS,AL,2026-08-14 18:09,2.890000104904175,2026-08-17 09:25,2.809999942779541,-2.77,RSI 50'nin altına düştü; Hacim satış yönünde belirgin arttı; Fiyat EMA50'nin altında kapandı
EUKYO.IS,AL,2026-08-13 15:34,12.899999618530273,2026-08-17 10:06,12.859999656677246,-0.31,RSI 50'nin altına düştü
YAYLA.IS,AL,2026-08-17 09:25,23.079999923706055,2026-08-17 10:06,23.020000457763672,-0.26,MACD aşağı kesişim yaptı
YUNSA.IS,AL,2026-08-17 09:25,9.020000457763672,2026-08-17 10:06,8.979999542236328,-0.44,MACD aşağı kesişim yaptı
DMSAS.IS,AL,2026-08-12 00:40,8.649999618530273,2026-08-17 11:03,9.140000343322754,5.66,Hacim satış yönünde belirgin arttı
VBTYZ.IS,AL,2026-08-17 09:25,33.5,2026-08-17 11:03,33.41999816894531,-0.24,Hacim satış yönünde belirgin arttı
HKTM.IS,GÜÇLÜ AL,2026-08-14 14:35,11.5600004196167,2026-08-17 11:56,12.359999656677246,6.92,Hacim satış yönünde belirgin arttı
NTHOL.IS,GÜÇLÜ AL,2026-08-13 12:37,45.540000915527344,2026-08-17 13:58,44.7599983215332,-1.71,RSI 50'nin altına düştü
MPARK.IS,GÜÇLÜ AL,2026-08-14 15:39,436.0,2026-08-17 13:58,434.0,-0.46,MACD aşağı kesişim yaptı
FLAP.IS,GÜÇLÜ AL,2026-08-17 09:25,10.710000038146973,2026-08-17 13:58,10.579999923706055,-1.21,MACD aşağı kesişim yaptı
INGRM.IS,GÜÇLÜ AL,2026-08-17 09:25,397.0,2026-08-17 13:58,395.0,-0.5,MACD aşağı kesişim yaptı
MRSHL.IS,GÜÇLÜ AL,2026-08-17 09:25,1887.0,2026-08-17 13:58,1801.0,-4.56,MACD aşağı kesişim yaptı
